Time,CPI,T30,T90,B10,VWD,VWX,EWD,EWX
1926.0,,,,0.0,0.0,0.0,0.0,0.0
1926.0833333333333,0.0,0.29510000000000003,0.40419999999999995,0.4349797247129743,0.05610363,-0.1395089,2.317378,2.1395359999999997
1926.1666666666667,0.0,0.2768,0.3237,0.43383800159337227,-3.304553,-3.6587229999999997,-5.3510349999999995,-5.554722
1926.25,-0.5587,0.2778,0.2778,0.4326962955949085,-6.400221999999999,-7.002128000000001,-9.682397,-10.14043
1926.3333333333333,0.5618,0.30720000000000003,0.30720000000000003,0.43155460682319813,3.702872,3.4043039999999998,3.2975039999999995,3.0155950000000002
1926.4166666666667,-0.5587,0.0342,0.1965,0.4304129353829893,1.2095230000000001,0.8584509,0.10351729999999999,-0.1751632
1926.5,-0.5618,0.3459,0.3459,0.4292712813781918,5.366369,4.618894,5.048731,4.454267
1926.5833333333333,-1.1299,0.22430000000000003,0.22430000000000003,0.5383138597162116,3.14107,2.922447,1.30506,1.081937
1926.6666666666667,-0.5714,0.2536,0.2069,0.5363082384925377,2.864728,2.5357629999999998,3.100235,2.899688
1926.75,0.5747,0.22729999999999997,0.22729999999999997,0.5343029779158144,0.5787370000000001,0.0030044900000000003,-0.649892,-1.123856
1926.8333333333333,0.5714,0.3195,0.3195,0.5322980793968952,-2.899619,-3.106881,-3.462975,-3.678381
1926.9166666666667,0.5682,0.30929999999999996,0.4337,0.5302935443486803,2.855394,2.29787,2.4776179999999997,2.2221520000000003
1927.0,0.0,0.2778,0.2778,0.5282893741858032,2.9211,2.1421900000000003,2.55156,1.9067110000000003
1927.0833333333333,-1.1299,0.2463,0.1413,0.5262855703308276,0.2416228,0.005323664999999999,1.255591,1.0122229999999999
1927.1666666666667,-0.5714,0.257,0.2524,0.5242821342082493,4.5370099999999995,4.117489,5.574802999999999,5.337166
1927.25,-0.5747,0.2959,0.2959,0.5222790672443409,0.3756279,-0.2241672,-1.928987,-2.4179619999999997
1927.3333333333333,0.0,0.2546,0.2546,0.5202763708733755,0.7225051,0.5134092,0.749361,0.5304912
1927.4166666666667,0.5780000000000001,0.30079999999999996,0.3667,0.5182740465314879,5.777311,5.362266,6.269068999999999,5.9557020000000005
1927.5,1.1494,0.2583,0.2583,0.5162720956568734,-2.108671,-2.740624,-1.970762,-2.517774
1927.5833333333333,-1.7045000000000001,0.29910000000000003,0.29910000000000003,0.28340250918139986,7.527909000000001,7.2869459999999995,5.808011,5.568594
1927.6666666666667,-0.5780000000000001,0.2757,0.2963,0.28333429913909924,2.249037,1.8438280000000002,0.4246929,0.2091724
1927.75,0.5813999999999999,0.2096,0.2096,0.28326608887923044,4.992352,4.500271,3.230819,2.756283
1927.8333333333333,0.5780000000000001,0.252,0.252,0.2831978784018929,-4.0769899999999994,-4.25937,-3.85285,-4.034292
1927.9166666666667,-0.5747,0.2086,0.19970000000000002,0.2831296677070725,6.845258,6.329948000000001,9.775829,9.537531000000001
1928.0,0.0,0.22300000000000003,0.22300000000000003,0.2830614567947265,2.378212,1.820621,2.967718,2.448454
1928.0833333333333,0.0,0.2225,0.2225,0.28299324566486916,-0.3339723,-0.5101366,3.2441150000000003,3.064184
1928.1666666666667,-1.1561,0.3294,0.2774,0.2829250343175431,-1.447756,-1.8118990000000001,-2.250801,-2.448925
1928.25,0.0,0.29359999999999997,0.29359999999999997,0.28285682275270574,9.047843,8.558162,7.158328999999999,6.760094
1928.3333333333333,0.0,0.2224,0.2224,0.2827886109703712,4.384581,4.208157,8.746559,8.576217
1928.4166666666667,0.5848,0.292,0.15360000000000001,0.2827203989705538,1.769032,1.395029,3.7590749999999997,3.541065
1928.5,-0.5813999999999999,0.31220000000000003,0.31220000000000003,0.2826521867532108,-4.524517,-5.028868999999999,-6.907351,-7.289238000000001
1928.5833333333333,0.0,0.3226,0.3226,0.08708414814894638,0.9399799,0.762611,0.3046699,0.1089561
1928.6666666666667,0.0,0.3216,0.3849,0.08913913040113641,7.020616,6.618632000000001,5.839567,5.632513
1928.75,1.1696,0.27230000000000004,0.27230000000000004,0.09119361995166742,3.1497829999999998,2.80404,4.924411,4.611034
1928.8333333333333,-0.5780000000000001,0.43779999999999997,0.43779999999999997,0.09324761743356191,1.922795,1.765021,1.746921,1.575923
1928.9166666666667,0.0,0.38739999999999997,1.1137,0.09530112348012665,12.149989999999999,11.63827,11.52025,11.28968
1929.0,-0.5813999999999999,0.3451,0.3451,0.09735413872482468,0.5557177,0.13483040000000002,-0.5551713,-0.9704910000000001
1929.0833333333333,0.0,0.3332,0.2734,0.09940666379691265,5.393473,5.234604,3.3525600000000004,3.082466
1929.1666666666667,0.0,0.3508,0.42240000000000005,0.10145869932584617,-0.04461388,-0.3385589,0.6486533,0.47488549999999996
1929.25,-0.5848,0.3431,0.3431,0.10351024594153557,-0.7808392,-1.1794829999999998,-3.210543,-3.549007
1929.3333333333333,-0.5882000000000001,0.35669999999999996,0.35669999999999996,0.10556130426925847,1.717913,1.579548,1.402353,1.207448
1929.4166666666667,0.5917,0.4388,0.38839999999999997,0.10761187493490354,-5.992296,-6.397036,-9.104576,-9.312268
1929.5,0.5882000000000001,0.5193,0.5193,0.10966195856445893,10.157259999999999,9.807518,7.342804999999999,6.97913
1929.5833333333333,1.1696,0.33449999999999996,0.33449999999999996,0.5119015081660052,4.595761,4.414874,1.8561370000000001,1.631692
1929.6666666666667,0.0,0.40299999999999997,0.47200000000000003,0.5100478372772841,8.534303,8.195264,2.836806,2.6536
