Time,CPI,T30,T90,B10,VWD,VWX,EWD,EWX
1926.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1926.0833333333333,100.0,100.29511071727609,100.40419749960748,100.43497972471297,100.05610363,99.8604911,102.317378,102.139536
1926.1666666666667,100.0,100.57271987585972,100.72919743502085,100.87070483365139,96.74969665581172,96.20687234421136,96.84233929213771,96.46596872311008
1926.25,99.44130297898933,101.4187257194675,101.57649155998331,101.87634876245735,91.06628591204887,89.9730205835869,87.95709319724654,87.17092605799465
1926.3333333333333,100.0,101.16191331871187,101.31928961593344,101.74436439010135,93.9107296445141,92.51618649740644,90.34986381917162,89.2979401865854
1926.4166666666667,99.44130297898933,101.76506361828166,102.08875551129441,102.7563821413818,95.58060752594366,93.83464389314608,90.95153507578277,89.64235220837257
1926.5,98.8827009300616,102.69401276211605,103.02064514115024,103.78046264479698,101.27873929064286,98.72333556520631,96.083171487223,94.16422046127532
1926.5833333333333,97.76540186012322,104.10054245959515,104.43171883126176,105.5315532871846,105.65378251214995,102.76969182488675,98.44951896934774,96.27080463800354
1926.6666666666667,97.20670483911256,104.96438168451667,105.24922369855804,106.70732486290402,109.30511869888424,105.98133601987696,102.08506790124152,99.63172002123999
1926.75,97.76540186012322,104.6018394763801,104.88567352877787,106.66440995167801,109.30945012923911,105.37885364739401,100.84203408039787,97.94903935788076
1926.8333333333333,98.32400390905093,104.33983605297294,104.62298953991842,106.62297102694257,105.53688657351105,101.5247760848793,96.79683171972076,93.81009787076864
1926.9166666666667,98.8827009300616,104.07120643903541,104.48297800926099,106.58276079893862,107.93706013563316,103.27087729372974,98.63462541017765,95.35288631126892
1927.0,98.8827009300616,104.36032120742225,104.77324414552652,107.14582619895327,111.09000959925514,105.48313570002827,101.15134705829358,97.17099028338339
1927.0833333333333,97.76540186012322,105.8128910528501,106.12037393237061,108.94066561782083,112.63107358143276,106.69431562428294,103.59190373672196,99.27632410786033
1927.1666666666667,97.20670483911256,106.69460926824719,106.99970487534706,110.14124293478169,118.41787574942843,111.72591910554384,109.99553650002358,105.17591196589844
1927.25,96.64800781810187,107.62893429571565,107.9367233640064,111.3565108381782,119.54980063474406,112.11987694652514,108.49732694439635,103.22609192163033
1927.3333333333333,96.64800781810187,107.9029026558546,108.21154427812209,111.93587245149827,120.4135540413699,112.69551070979729,109.31036359856017,103.77369725537848
1927.4166666666667,97.20670483911256,107.60543486703547,107.98411798829686,111.86931955796867,126.63815726192955,118.05609216995856,115.4954564920686,109.32218626482913
1927.5,98.32400390905093,106.6574802805939,107.03275933452605,111.1690862094822,122.5590745994647,113.51586118826691,111.93275484662819,105.35870211967666
1927.5833333333333,96.64800781810187,108.83165087623439,109.21456784784014,113.41741521503307,134.07052888137684,123.89965017899343,120.48761062945938,113.15449181111694
1927.6666666666667,96.08940576917415,109.76612672511428,110.174882071658,114.39996973766814,137.8827535622939,126.91770015138542,121.70272519701963,114.05036322058757
1927.75,96.64800781810187,109.36036221318895,109.76771436296937,114.06094900654055,143.9296315922438,131.8627751778734,124.90858175007244,116.51656158904846
1927.8333333333333,97.20670483911256,109.00587119596108,109.41189498647068,113.72654359541241,137.26812354951812,125.52064943062543,119.40578762522458,111.17327942414266
1927.9166666666667,96.64800781810187,109.86466289745907,110.26413247153195,114.70782214043926,147.51231001346957,134.23757377475513,131.8364251068292,122.48042351814135
1928.0,96.64800781810187,110.1096735225508,110.5099951676359,115.0325157728475,151.0204654716871,136.6815312327888,135.74895842528107,125.47930034698823
1928.0833333333333,96.64800781810187,110.35468414764257,110.75582816300343,115.35805002280306,150.5160989496806,135.98426871652993,140.1528107478994,129.32421699153255
1928.1666666666667,95.53070874816348,112.0131121482815,112.36210351956797,117.03743785393601,150.0718989353048,135.08198609808787,138.6005411157584,127.6326609915682
1928.25,95.53070874816348,112.34199064968486,112.69194159558755,117.36848623208083,163.65016873808983,146.64252130117973,148.52202384460466,136.26074884929955
1928.3333333333333,95.53070874816348,112.59185760437074,112.94263295645406,117.70039094401348,170.82554294304808,152.8134688262918,161.5125902881671,147.94676635644046
1928.4166666666667,96.08940576917415,112.26398869202723,112.45840457008742,117.34686840045218,172.83669199335435,154.04435572371608,166.60957856188173,152.2949831529949
1928.5,95.53070874816348,113.27312706609167,113.469165944164,118.36677724963884,165.98174170416615,147.15326683330088,156.00835668521358,142.01959036013034
1928.5833333333333,95.53070874816348,113.63853865583093,113.83524203782775,118.46985594929804,167.54193671385525,148.27547383303096,156.48366718951806,142.17432936702272
1928.6666666666667,95.53070874816348,114.00397714769701,114.2734035413823,118.57545894867873,179.30441272949798,158.0892817922956,165.62163577910695,150.1823169512831
1928.75,96.64800781810187,112.99292260742962,113.25995665224175,117.31155081003169,182.81397417123674,160.64333133806218,171.76857114599625,155.29103636417304
1928.8333333333333,96.08940576917415,114.14734125725275,114.41708374502228,118.10355092142773,187.4123098309487,164.42908008159714,175.78522838046916,158.655292642184
1928.9166666666667,96.08940576917415,114.58955480388838,115.69130363837665,118.21610493232578,210.18288673417794,183.56578038000964,196.0361261529702,176.5669674845501
1929.0,95.53070874816348,115.65748947573438,116.76955992756264,119.02323543750961,212.58696433513552,184.88828726971826,196.08791275069223,175.87600484454276
1929.0833333333333,95.53070874816348,116.0428086393827,117.08885111784998,119.14155246500115,224.05278485807068,194.56645695067044,202.66187767840682,181.29732289603413
1929.1666666666667,95.53070874816348,116.44989162369642,117.58335282296568,119.26243193448877,223.9528262174974,193.90773489424927,203.97645063580975,182.15827759435558
