,kappa,cvar_05,expected_wealth,median_wealth,qsum_avg,p_med_avg,portfolio
0,1.0,307.4874717749237,825.4623575007319,783.0860624834904,51.92764380670363,0.22348343641497195,2_factor_unconstrain
0,1.0,-148.27261455434157,454.0872256306885,168.27568538889506,52.17969537550403,0.43740422228972115,2basic_NN
0,1.0,-106.3507235377101,54.623439877941145,25.48104372471201,50.88221396169355,0.2183851301825295,3basic_NN
0,1.0,249.36457769008643,638.7224178546916,578.3271740174686,51.498550907258064,0.23713985684638222,3_factor_constrain_indiv
0,1.0,608.7893063258308,1345.0699025110848,1267.0404412149649,52.966568485383064,0.17230259295999228,3_factor_unconstrain
0,1.0,230.70495851107455,680.9366916453475,610.4600360611878,51.64767357610887,0.06893593427278878,5_factor_constrain_indiv
0,1.0,109.81725722959953,406.15579046601454,355.65323706152776,51.72840536794355,0.2548574103663365,2_factor_constrain_indiv
0,1.0,628.4749451287535,1274.377054118468,1230.3424516276666,53.29251197076613,3.3382720758035055e-06,5_factor_unconstrain
0,1.0,609.4104655488426,1291.6524470159554,1256.2089968219816,52.92786432081653,0.17154846308291477,4_factor_unconstrain
0,1.0,368.78586638226,885.3255875048924,835.2039481983675,52.416527532762096,0.19182680498591556,3_factor_constrain_group
0,1.0,366.9794850206413,841.7846875722109,823.2319712375609,52.38362367691532,0.03337595875499032,5_factor_constrain_group
0,1.0,126.1916308830178,2066.932723746847,1381.052836610464,53.03215568296371,0.5000003019968668,2_factor_constrain_group
