,kappa,cvar_05,expected_wealth,median_wealth,qsum_avg,p_med_avg,portfolio
0,1.0,482.34570712426927,1605.6549652627962,1516.6834135661059,52.536719537550404,0.16038096243234273,3_factor_unconstrain
0,1.0,-14.778055692695133,516.9184150588266,326.534392895614,52.323907667590724,0.21983456456412873,2_factor_unconstrain
0,1.0,-65.02308967067029,359.9755192618644,193.61011937425215,52.80970419606855,0.18646866139024496,2_factor_constrain_group
0,1.0,235.5593064173607,981.6339862574343,935.1924255693405,52.69258757560484,0.11130494985845871,3_factor_constrain_group
0,1.0,12.041718145372833,570.9585629481253,355.6595524652272,51.969785628780244,0.20468040332198142,4_factor_1927_constrain_indiv
0,1.0,-166.21509133415705,61.95145383079956,17.38196817023273,51.30712103074597,0.22839733531441198,3basic_NN
0,1.0,-60.486998251189995,509.97912205759997,186.2067964016373,52.21997857862903,0.3036052707582712,2_factor_constrain_indiv
0,1.0,-203.29022579960153,559.8302230583721,164.77999189987884,51.737737840221776,0.44649756252765654,2basic_NN
0,1.0,108.73126778628492,740.153727823131,553.2791826391484,51.88632103704637,0.19673884554455678,3_factor_constrain_indiv
0,1.0,479.5472153382452,1925.9617478181594,1553.8403408394524,52.65745888986895,0.16354165859520436,4_factor_1927_unconstrain
0,1.0,234.36305224140196,945.3823372694283,905.3665048412731,52.734839654737904,0.11634859497038026,4_factor_1927_constrain_group
