,kappa,cvar_05,expected_wealth,median_wealth,qsum_avg,p_med_avg
0,0.050,-565.031,258.665,116.508,57.142,0.309
1,0.200,-323.585,280.495,106.159,56.246,0.334
2,0.500,-136.229,294.297,127.028,54.298,0.303
3,1.000,-43.082,625.884,277.206,52.210,0.363
4,1.500,-3.191,608.810,341.774,50.697,0.319
5,3.000,18.848,656.815,405.558,49.212,0.296
6,5.000,24.647,640.528,415.500,48.634,0.279
7,50.000,33.304,628.542,465.384,46.052,0.223
8,999.000,35.463,1164.110,917.499,35.000,0.221
